Politifact URL,Source,Statement,Rating,X Post URL
https://www.politifact.com/factchecks/2025/feb/09/kristi-noem/us-has-detained-migrants-at-guantanamo-bay-before/,Kristi Noem,"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",half-true,https://x.com/ReichlinMelnick/status/1884983083507597508
https://www.politifact.com/factchecks/2025/feb/07/donald-trump/trump-claimed-60-minutes-replaced-harris-interview/,Donald Trump,"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”",false,https://www.dropbox.com/scl/fi/pbq6fcc0iltxnx3ahukmz/Transcript-Transcribed-Unedited-Interview-Footage-8-of-14.pdf?rlkey=7xvynvcj6is6eukyclmbg7i6u&e=1&st=gzy0zb4u&dl=0
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/HouseForeignGOP/status/1886526044645040424/photo/1
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1109221983907184641
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1011667756209573888
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1179134071374598145
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/marcorubio/status/1169662775087566849
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1331037375179452416
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1298330380232200198
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1173664868408483840
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1097238672909451269
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1222876152131457025
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/976115616015880198
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/SenMarcoRubio/status/1557806801491578886
https://www.politifact.com/factchecks/2025/feb/07/marco-rubio/marco-rubio-supported-usaid-as-a-senator-as-secret/,Marco Rubio,On support for U.S. Agency for International Development,full-flop,https://x.com/HouseForeignGOP/status/1886526044645040424
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/elonmusk/status/1886102414194835755
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/Malinowski/status/1886459837707641136
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://www.devex.com/news/small-businesses-and-new-partners-on-the-rise-at-usaid-108939
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/elonmusk/status/1885777925158437177
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/RandPaul/status/1885787240862753127
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/BasedMikeLee/status/1885829562963202472
https://www.politifact.com/factchecks/2025/feb/05/brian-mast/why-the-republican-claim-about-the-majority-of-usa/,Brian Mast,"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",false,https://x.com/elonmusk/status/1886627783138316442
https://www.politifact.com/factchecks/2025/feb/04/ron-johnson/wis-sen-johnson-says-us-is-one-of-very-few-nations/,Ron Johnson,We’re one of the very few nations that allowed birthright citizenship.”,mostly-true,https://x.com/RepTiffany/status/1882461620372398352
https://www.politifact.com/factchecks/2025/jan/31/adam-schiff/fact-checking-sen-adam-schiffs-claim-about-califor/,Adam Schiff,"“As a Californian, we have given more to the recovery of other states than any other state in the union.”",mostly-true,https://x.com/senalexpadilla/status/1884067657273749644?s=46&t=oRTXv1x9uWRV2MDtQSnc3Q
https://www.politifact.com/factchecks/2025/jan/30/karoline-leavitt/no-the-us-did-not-spend-50-million-to-fund-condoms/,Karoline Leavitt,“DOGE and OMB also found that there was about to be $50 million taxpayer dollars that went out the door to fund condoms in Gaza.”,false,https://x.com/statedeptspox/status/1884404233052831790
https://www.politifact.com/factchecks/2025/jan/30/karoline-leavitt/no-the-us-did-not-spend-50-million-to-fund-condoms/,Karoline Leavitt,“DOGE and OMB also found that there was about to be $50 million taxpayer dollars that went out the door to fund condoms in Gaza.”,false,https://x.com/PressSec/status/1884672871944901034
https://www.politifact.com/factchecks/2025/jan/29/donald-trump/what-trump-omits-about-north-carolina-storm-victim/,Donald Trump,"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.",barely-true,https://x.com/resistupdates/status/1882841586910052449
https://www.politifact.com/factchecks/2025/jan/29/donald-trump/what-trump-omits-about-north-carolina-storm-victim/,Donald Trump,"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.",barely-true,https://x.com/SenTedBuddNC/status/1879299862954721306
https://www.politifact.com/factchecks/2025/jan/29/donald-trump/what-trump-omits-about-north-carolina-storm-victim/,Donald Trump,"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.",barely-true,https://x.com/SenThomTillis/status/1879316854340014260
https://www.politifact.com/factchecks/2025/jan/29/donald-trump/what-trump-omits-about-north-carolina-storm-victim/,Donald Trump,"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.",barely-true,https://x.com/SenTedBuddNC/status/1879316133096145351
https://www.politifact.com/factchecks/2025/jan/29/roy-cooper/roy-cooper-says-hurricane-helene-relief-bill-took/,Roy Cooper,North Carolina Republicans “took money out of western North Carolina” with Hurricane Helene relief bill.,half-true,https://x.com/NC_Governor/status/1863979669722173947
https://www.politifact.com/factchecks/2025/jan/28/common-cause/yes-wisconsin-makes-it-harder-to-vote-than-most-ot/,Common Cause,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,true,https://costofvotingindex.com/
https://www.politifact.com/factchecks/2025/jan/28/common-cause/yes-wisconsin-makes-it-harder-to-vote-than-most-ot/,Common Cause,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,true,https://costofvotingindex.com/figures
https://www.politifact.com/factchecks/2025/jan/24/donald-trump/donald-trump-goes-too-far-in-claim-that-jan-6-comm/,Donald Trump,"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,https://x.com/SpeakerJohnson/status/1882175862340243731
https://www.politifact.com/factchecks/2025/jan/24/donald-trump/donald-trump-goes-too-far-in-claim-that-jan-6-comm/,Donald Trump,"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",false,https://x.com/SpeakerJohnson/status/1874976464279326932
https://www.politifact.com/factchecks/2025/jan/23/lisa-murkowski/us-highest-mountain-called-denali-for-thousands-of/,Lisa Murkowski,"""Our nation’s tallest mountain … has been called Denali for thousands of years.""",mostly-true,https://x.com/lisamurkowski/status/1881502799361642810
https://www.politifact.com/factchecks/2025/jan/17/dana-loesch/are-north-carolinas-helene-victims-still-required/,Dana Loesch,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,half-true,https://x.com/buncombeGov/status/1876284345935180138
https://www.politifact.com/factchecks/2025/jan/17/dana-loesch/are-north-carolinas-helene-victims-still-required/,Dana Loesch,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,half-true,https://x.com/DLoesch/status/1876412098864984247
https://www.politifact.com/factchecks/2025/jan/17/dana-loesch/are-north-carolinas-helene-victims-still-required/,Dana Loesch,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,half-true,https://x.com/AlanJacobyJr/status/1876600559618384308
https://www.politifact.com/factchecks/2025/jan/17/dana-loesch/are-north-carolinas-helene-victims-still-required/,Dana Loesch,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,half-true,https://x.com/matt_vanswol/status/1876351873705488739
https://www.politifact.com/factchecks/2025/jan/17/jd-vance/fact-check-have-some-california-reservoirs-been-cl/,JD Vance,"“Some of these (California) reservoirs have been dry for 15, 20 years.""",barely-true,https://x.com/GavinNewsom/status/1877823208273178995
https://www.politifact.com/factchecks/2025/jan/15/tony-evers/does-wisconsin-have-record-high-budget-balances-un/,Tony Evers,"“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""",mostly-true,https://x.com/GovEvers/status/1873172081430450465
https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/,Bernie Sanders,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",barely-true,https://x.com/LauraLoomer/status/1872054521079419291
https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/,Bernie Sanders,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",barely-true,https://x.com/elonmusk/status/1873191959441084531
https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/,Bernie Sanders,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",barely-true,https://x.com/elonmusk/status/1871956518213656728?t=7aqMogGyXcAYYtYngWWX_g&s=19
https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/,Bernie Sanders,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",barely-true,https://x.com/elonmusk/status/1872860577057448306
https://www.politifact.com/factchecks/2025/jan/09/bernie-sanders/are-h-1b-visa-holders-hired-as-dog-trainers-massag/,Bernie Sanders,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”",barely-true,https://x.com/SenSanders/status/1874918027982172626
https://www.politifact.com/factchecks/2025/jan/07/grok-ai/grok-said-biden-rescinded-a-medal-of-freedom-from/,Grok AI,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",pants-fire,https://x.com/i/grok/share/C66HRShVUANXzJwplIzfFTery
https://www.politifact.com/factchecks/2025/jan/07/grok-ai/grok-said-biden-rescinded-a-medal-of-freedom-from/,Grok AI,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",pants-fire,https://x.com/RNcat50/status/1875635679822283160
https://www.politifact.com/factchecks/2025/jan/07/grok-ai/grok-said-biden-rescinded-a-medal-of-freedom-from/,Grok AI,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",pants-fire,https://x.com/i/grok/share/vHCvuLZui1B4XeBbIbj5JKsVj
https://www.politifact.com/factchecks/2025/jan/07/donald-trump/congress-certified-trumps-2024-win-the-next-day-he/,Donald Trump,“They’re still counting the (2024 election) vote in some areas.”,false,https://x.com/Acyn/status/1876669174757589323
https://www.politifact.com/factchecks/2025/jan/02/ron-johnson/yes-there-have-been-placebo-controlled-studies-on/,Ron Johnson,“There's never been a placebo-controlled study on childhood vaccines.”,false,https://x.com/SenRonJohnson/status/1857180495383076926
https://www.politifact.com/factchecks/2025/jan/02/ron-johnson/yes-there-have-been-placebo-controlled-studies-on/,Ron Johnson,“There's never been a placebo-controlled study on childhood vaccines.”,false,https://x.com/AaronSiriSG/status/1815806770545152202
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/elonmusk/status/1869479299121823760
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/VivekGRamaswamy/status/1869407887983821089
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/VivekGRamaswamy/status/1869451701029396927
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/jdvance/status/1869495076604227726?s=12&t=ZFxqQ7lhc5A_GnIwEPrNSQ
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/RepSaraJacobs/status/1869550582991868061
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/RepSaraJacobs/status/1869791487367798957?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/RandPaul/status/1869723449377030385
https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Sara Jacobs,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,true,https://x.com/RandPaul/status/1869331400354304387
https://www.politifact.com/factchecks/2024/dec/19/department-of-government-efficiency/congress-didnt-propose-new-243000-salaries-in-spen/,Department of Government Efficiency,"Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”",false,https://x.com/elonmusk/status/1869487359420727338
https://www.politifact.com/factchecks/2024/dec/19/department-of-government-efficiency/congress-didnt-propose-new-243000-salaries-in-spen/,Department of Government Efficiency,"Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”",false,https://x.com/elonmusk/status/1869485580276629975
https://www.politifact.com/factchecks/2024/dec/19/department-of-government-efficiency/congress-didnt-propose-new-243000-salaries-in-spen/,Department of Government Efficiency,"Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”",false,https://x.com/jdvance/status/1869495076604227726
https://www.politifact.com/factchecks/2024/dec/17/doug-mastriano/photo-shared-by-pennsylvania-state-senator-shows-a/,Doug Mastriano,Photo shows a downed drone,false,https://x.com/SenMastriano/status/1869126599649706318
https://www.politifact.com/factchecks/2024/dec/17/doug-mastriano/photo-shared-by-pennsylvania-state-senator-shows-a/,Doug Mastriano,Photo shows a downed drone,false,https://x.com/RAF_Luton/status/1631657159787257859
https://www.politifact.com/factchecks/2024/dec/17/doug-mastriano/photo-shared-by-pennsylvania-state-senator-shows-a/,Doug Mastriano,Photo shows a downed drone,false,https://x.com/SenMastriano/status/1868794734530953444
https://www.politifact.com/factchecks/2024/dec/17/doug-mastriano/photo-shared-by-pennsylvania-state-senator-shows-a/,Doug Mastriano,Photo shows a downed drone,false,https://x.com/SenMastriano/status/1869069888498921848
https://www.politifact.com/factchecks/2024/dec/12/charlie-kirk/in-1898-the-supreme-court-ruled-that-the-14th-amen/,Charlie Kirk,The 14th Amendment “has never been challenged at SCOTUS.”,false,https://x.com/charliekirk11/status/1865781392044609679
https://www.politifact.com/factchecks/2024/dec/11/mike-johnson/mike-johnsons-pants-on-fire-claim-that-1-of-federa/,Mike Johnson,About 1% of federal employees are “actually working in the office.”,pants-fire,https://x.com/elonmusk/status/1864702585313349962
https://www.politifact.com/factchecks/2024/dec/05/michael-rulli/biden-law-gave-states-75-billion-for-ev-charging-3/,Michael Rulli,“Pete Buttigieg will leave his post as Transportation Secretary having spent $7.5 billion to build 8 EV charging stations.”,false,https://x.com/SecretaryPete/status/1861181145292898597
https://www.politifact.com/factchecks/2024/nov/19/elon-musk/no-democrat-bob-casey-is-not-asking-to-count-nonci/,Elon Musk,"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,https://x.com/elonmusk/status/1856733455939510593
https://www.politifact.com/factchecks/2024/nov/19/elon-musk/no-democrat-bob-casey-is-not-asking-to-count-nonci/,Elon Musk,"Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”",false,https://x.com/Matt_Gruda/status/1856725465324503192
https://www.politifact.com/factchecks/2024/nov/15/eric-hovde/hovdes-claim-baldwin-won-nearly-90-of-milwaukee-ab/,Eric Hovde,Says the election results are suspicious because opponent U.S. Sen. Baldwin won “nearly 90%” of absentee ballots in Milwaukee.,false,https://x.com/EricHovde/status/1856444700707958981
https://www.politifact.com/factchecks/2024/nov/02/patriot-voice/in-another-sign-of-russian-influence-posts-falsely/,Patriot Voice,"Vice President Kamala Harris and husband Doug Emhoff received $500,000 for tipping off Sean “Diddy” Combs about police raids.",pants-fire,https://x.com/dustinemills24/status/1851797465931919395
https://www.politifact.com/factchecks/2024/nov/02/patriot-voice/in-another-sign-of-russian-influence-posts-falsely/,Patriot Voice,"Vice President Kamala Harris and husband Doug Emhoff received $500,000 for tipping off Sean “Diddy” Combs about police raids.",pants-fire,https://x.com/MichaelSCollura/status/1851816230874943506
https://www.politifact.com/factchecks/2024/nov/02/donald-trump/donald-trumps-pants-on-fire-claim-that-he-never-me/,Donald Trump,“I never mentioned” wanting to end the Affordable Care Act.,pants-fire,https://x.com/realDonaldTrump/status/1852033066157441249
https://www.politifact.com/factchecks/2024/nov/01/make-the-road-nevada/nevada-political-action-committee-gets-some-right/,Make the Road Nevada,Republican Senate candidate Sam Brown “wants to cut Medicaid and Social Security.”,half-true,https://x.com/makeroadactNV/status/1850992253805666724
